name,bus0,bus1,length,num_parallel,s_nom,s_max_pu,r_ohmkm,x_ohmkm,x,r,build_year,carrier,x_pu_eff,r_pu_eff,s_nom_opt,v_nom
1,0,11,167.4186549159115,4.0,6845.06479152,0.7,0.04,0.16,6.69674619663646,1.674186549159115,0,AC,4.637635870246856e-05,1.159408967561714e-05,6845.06479152,380.0
2,0,9,78.15552376759707,18.0,21075.594226517995,0.7,0.04,0.16,0.6947157668230851,0.17367894170577128,0,AC,4.811051016780368e-06,1.202762754195092e-06,21075.594226517995,380.0
3,1,10,160.91162098353303,6.75,9119.24750186,0.7,0.04,0.16,3.814201386276338,0.9535503465690846,0,AC,2.6414137024074363e-05,6.603534256018591e-06,9119.24750186,380.0
4,1,12,285.22898844774846,3.5,3557.63235875,0.7,0.04,0.16,13.039039471897073,3.2597598679742683,0,AC,9.029805728460576e-05,2.257451432115144e-05,3557.63235875,380.0
5,1,3,184.59617876704704,2.25,3850.348945229,0.7,0.04,0.16,13.126839378990011,3.281709844747503,0,AC,9.09060898822023e-05,2.2726522470550574e-05,3850.348945229,380.0
6,1,5,157.38117317352328,12.25,18531.2115902,0.7,0.04,0.16,2.0555908332868347,0.5138977083217087,0,AC,1.42353935823188e-05,3.5588483955797e-06,18531.2115902,380.0
7,1,8,304.9625116802017,0.75,1283.44964841,0.7,0.04,0.16,65.05866915844304,16.26466728961076,0,AC,0.00045054480026622605,0.00011263620006655651,1283.44964841,380.0
8,10,3,237.26847382928892,2.75,4705.982044169999,0.7,0.04,0.16,13.804711204613172,3.451177801153293,0,AC,9.560049310673942e-05,2.3900123276684855e-05,4705.982044169999,380.0
9,10,4,162.48115947813608,5.25,7768.247871951999,0.7,0.04,0.16,4.951806765047957,1.2379516912619892,0,AC,3.4292290616675605e-05,8.573072654168901e-06,7768.247871951999,380.0
10,10,8,193.16655270103587,5.0,5516.581822110999,0.7,0.04,0.16,6.1813296864331475,1.5453324216082869,0,AC,4.2806992288318194e-05,1.0701748072079549e-05,5516.581822110999,380.0
11,11,4,147.3842201313845,7.0,7723.214550954999,0.7,0.04,0.16,3.368782174431646,0.8421955436079115,0,AC,2.3329516443432452e-05,5.832379110858113e-06,7723.214550954999,380.0
12,12,5,204.24603048182223,1.75,1778.816179375,0.7,0.04,0.16,18.67392278690946,4.668480696727365,0,AC,0.00012932079492319572,3.233019873079893e-05,1778.816179375,380.0
13,12,6,190.08410114945397,2.0,3422.53239576,0.7,0.04,0.16,15.206728091956318,3.8016820229890795,0,AC,0.00010530975132933739,2.6327437832334346e-05,3422.53239576,380.0
14,13,3,160.27678033138434,1.0,1711.26619788,0.7,0.04,0.16,25.644284853021496,6.411071213255374,0,AC,0.00017759200036718487,4.439800009179622e-05,1711.26619788,380.0
15,13,6,136.66232617073663,1.5,1958.94946336,0.7,0.04,0.16,14.577314791545241,3.6443286978863103,0,AC,0.00010095093345945458,2.5237733364863644e-05,1958.94946336,380.0
16,13,9,164.43342906661064,7.0,8331.164384414998,0.7,0.04,0.16,3.7584783786653864,0.9396195946663466,0,AC,2.6028243619566386e-05,6.507060904891597e-06,8331.164384414998,380.0
17,2,4,188.3883635969985,6.0,7835.797853448999,0.7,0.04,0.16,5.02368969591996,1.25592242397999,0,AC,3.4790094847091136e-05,8.697523711772784e-06,7835.797853448999,380.0
18,2,7,166.76695128529866,1.5,1350.999629904,0.7,0.04,0.16,17.78847480376519,4.447118700941298,0,AC,0.00012318888368258442,3.0797220920646106e-05,1350.999629904,380.0
19,2,8,148.10803908997795,4.0,4413.265457689,0.7,0.04,0.16,5.924321563599118,1.4810803908997796,0,AC,4.1027157642653175e-05,1.0256789410663294e-05,4413.265457689,380.0
20,3,4,296.6407535252193,2.0,3422.53239576,0.7,0.04,0.16,23.731260282017544,5.932815070504386,0,AC,0.0001643439077702046,4.108597694255115e-05,3422.53239576,380.0
21,3,6,208.87085456205384,5.0,6124.531655567999,0.7,0.04,0.16,6.683867345985723,1.6709668364964307,0,AC,4.628716998605071e-05,1.1571792496512678e-05,6124.531655567999,380.0
22,3,9,133.12005643856435,3.0,5133.79859364,0.7,0.04,0.16,7.099736343390099,1.7749340858475247,0,AC,4.916714919245221e-05,1.2291787298113052e-05,5133.79859364,380.0
23,4,7,181.7675792966063,6.5,7475.531285472999,0.7,0.04,0.16,4.474278874993386,1.1185697187483465,0,AC,3.0985310768652256e-05,7.746327692163064e-06,7475.531285472999,380.0
24,4,9,266.11919565228885,1.0,1711.26619788,0.7,0.04,0.16,42.57907130436622,10.644767826091554,0,AC,0.00029486891485018156,7.371722871254539e-05,1711.26619788,380.0
