,2,3
0,3978.676696724786,2585.9958525891816
1,3464.330790659736,2334.609747063332
2,3792.932864341694,2572.199881862871
3,3068.537733664822,2390.622372123118
4,3411.548355449371,2434.8957058672604
5,3536.946588412615,2777.4484127067335
6,3882.659633640949,2746.1008748243003
7,4053.2931473760054,2759.2384201622845
8,2907.8980844509824,2323.1972629126285
9,2931.785336788232,2664.355273811205
10,2658.891432647738,2578.2898130052636
11,2057.612677684442,1830.275674868968
12,2358.3072671950863,1766.7634515155805
13,2431.6955328181816,1568.3852664391343
14,3335.3237599810072,1843.8976626042968
15,3094.701344253144,1484.1806682137212
16,2987.0560727480647,1336.9353896207067
17,3704.290792082461,1728.3884259713595
18,3010.898761687734,1439.4751837212534
19,3070.386910138516,1169.7642611089686
20,2970.769639015044,1037.17861096247
21,3131.8494588548538,1161.7195283374567
22,2694.374168700896,887.4720825541153
23,2358.710704275484,925.0337020524712
