0.0,0,1,2,3,4,5,6,7,8,9,10,11,12,13
1,7208.304766664407,2770.4943873889497,2958.488930076845,4112.848312183502,9532.202989416002,3959.0590724737012,3818.8940810642007,1664.573036238592,4886.3363210848,3890.5530387416998,2779.1632820614,1812.8038481980777,720.6539052696999,1639.7040291386897
2,6900.52954312313,2652.2017295453797,2832.169410958106,3937.2407526177,9125.203562936296,3790.0178997568387,3655.837576445689,1593.5002452139731,4677.702904182289,3724.4368893889996,2660.5004857332,1735.402000234153,689.88392203908,1569.69307782028
3,6630.036771899023,2548.23849148131,2721.1516480809823,3782.9054721909006,8767.506145039599,3641.4535847630696,3512.5329748200434,1531.036879963399,4494.342364445501,3578.443274093501,2556.2119460296,1667.3762504293447,662.8412707862001,1508.1629259776398
4,6470.4553964918,2486.90377836723,2655.6550094291247,3691.8529970590994,8556.4770455587,3553.8057795464197,3427.988218496268,1494.1856558274794,4386.165990658821,3492.3120927525993,2494.6853162066,1627.24341187497,646.8870422789801,1471.86226546089
5,6227.729472602407,2393.6126604715,2556.033533629076,3553.360669292702,8235.4982784006,3420.4920113051503,3299.3942391822998,1438.1343315328131,4221.62792846935,3361.3051346204006,2401.1022898077,1566.2006975176037,622.6203955955099,1416.6483575783202
6,5780.18405124501,2221.5996673886098,2372.3484346133537,3298.004314302601,7643.667890884297,3174.684041450809,3062.2887593282776,1334.7851995250787,3918.24765827982,3119.7505312288,2228.5510669669998,1453.6482891017313,577.8768163313201,1314.8432793558
7,5783.459915256757,2222.8587377464996,2373.6929403936997,3299.873426695199,7647.999866533,3176.483263258879,3064.0242821838633,1335.5416762660582,3920.4682876488896,3121.518619994499,2229.8140769620995,1454.4721303614488,578.2043224883,1315.5884542050503
8,5880.019906827729,2259.97133541729,2413.32384882431,3354.9677396055,7775.690005911997,3229.5174679785,3115.1808844954844,1357.839728797196,3985.9239820512407,3173.6351412565996,2267.0428001893006,1478.7558322827563,587.8579563554001,1337.5533700014603
9,6243.79680561196,2399.78810079526,2562.6280143542094,3562.5282205508,8256.7455875352,3429.3167658876096,3307.906565575763,1441.8446698373782,4232.519586826901,3369.9771890467996,2407.2970531230003,1570.241442748334,624.2267353181,1420.3032627919401
10,6669.815120606828,2563.5272029623998,2737.4777896804685,3805.6018369578,8820.108706496098,3663.30127814409,3533.607180940109,1540.2226689699414,4521.307149698479,3599.9129234001994,2571.5484959879,1677.3800371649538,666.81813126433,1517.2114777190702
11,7138.263674230541,2743.5742640356607,2929.742116046519,4072.8849091189004,9439.5812243463,3920.58999667447,3781.786949501859,1648.3988430469128,4838.85715018389,3852.7496170185004,2752.1589254711002,1795.1893374336664,713.6515117209601,1623.7714811714802
12,7315.628311415328,2811.74393052126,3002.5375003550967,4174.083994382801,9674.126763071203,4018.00500598885,3875.7531156201085,1689.356655208835,4959.0883691441695,3948.478994521901,2820.5418952749997,1839.7944571166076,731.3836307951801,1664.11737658449
13,7218.912326318369,2774.5713771181304,2962.8425678367485,4118.9006761195,9546.230339141695,3964.88512404168,3824.5138693630515,1667.022579974751,4893.526930483831,3896.278278557799,2783.2530287166,1815.471524659366,721.71440139682,1642.11697627137
14,7140.603577093677,2744.4736000084904,2930.702477314053,4074.2199893993,9442.675492662702,3921.8751551086393,3783.02660868392,1648.9391835761953,4840.443314016879,3854.0125375662005,2753.0610754699,1795.7777954779149,713.8854446906,1624.3037489202002
15,7126.09617933166,2738.8977169975597,2924.7482374407687,4065.9424916599,9423.4910290772,3913.90717281789,3775.3407217455324,1645.5890722907513,4830.60909821718,3846.1824301719985,2747.4677454844996,1792.1293556093763,712.43506028117,1621.0036888737902
16,7373.813895998619,2834.10741829154,3026.4184839504405,4207.2829906932,9751.070901986703,4049.962612387191,3906.5793073195005,1702.7931230500155,4998.530976590039,3979.8836188045,2842.9753585446,1854.427447125585,737.20076396625,1677.35310128767
17,8017.599170985899,3081.54472134465,3290.6458815204132,4574.6080785397,10602.407259347996,4403.55253625748,4247.650870707115,1851.4588141620875,5434.93752071694,4327.355158783199,3091.1868945017004,2016.331870107847,801.56352159006,1823.79770143682
18,8137.402197685177,3127.59072297904,3339.816378573184,4642.9641889045,10760.833797377403,4469.3526480896,4311.121420907523,1879.1242492900549,5516.149109251752,4392.0166908168985,3137.3769743714,2046.4609219241336,813.5408896179299,1851.0498102105396
19,8009.175520672073,3078.3071118557705,3287.188580947807,4569.801789532002,10591.267893390006,4398.9259658952205,4243.188097644388,1849.513588253285,5429.22733089518,4322.808644813999,3087.9391545136004,2014.2134211521636,800.72136290102,1821.8815375388401
20,7727.295222176292,2969.9671054066102,3171.4970598868117,4408.969118402,10218.511702996097,4244.10721318413,4093.8504879900042,1784.4205657607006,5238.14746047288,4170.6688161845,2979.2601514889,1943.3238422008217,772.5402378637401,1757.76101597993
21,7623.87151553072,2930.2164555598592,3129.0490917296434,4349.9585700034,10081.7450432151,4187.303210391469,4039.0575520764323,1760.5375143398521,5168.039018811831,4114.8477279842,2939.3851216044995,1917.3139966869219,762.2004006193599,1734.2347814512698
22,7716.219681942132,2965.7102484843103,3166.95134987422,4402.6497384084,10203.8654996086,4238.0241299313,4087.9827678556403,1781.8629539196627,5230.6396183073,4164.6909922636005,2974.9899748359994,1940.5384741318328,771.43295514114,1755.2416153013796
23,7327.015838692708,2816.12069890355,3007.2112585379746,4180.5813850807,9689.185535568602,4024.25944370357,3881.786123646448,1691.986312454335,4966.80769982447,3954.625207853799,2824.9323585967004,1842.6582862606515,732.5221045792799,1666.7077462975803
24,6855.75940163305,2634.99443466323,2813.794498646784,3911.6962165866994,9065.999895731702,3765.4285350499695,3632.118764065722,1583.161729742203,4647.354302741749,3700.2730095803986,2643.2393491158,1724.1428363398002,685.40800455914,1559.50902154808
