time,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13
0.0,1.0429646033079907,1.0160099889971002,1.0616841001336244,1.045711084164006,1.0321158045667673,1.000000003657252,1.0032737042256659,1.0781865688977772,1.0924146085162456,1.0518851394623085,1.0655481492562682,1.1099456681084507,1.0493315725611725,1.098162887773673
1.0e-6,1.04296460330799,1.0160099889970997,1.061684100133624,1.0457110841640056,1.0321158045667669,1.0000000036572516,1.0032737042256654,1.078186568897777,1.0924146085162452,1.051885139462308,1.065548149256268,1.1099456681084505,1.049331572561172,1.0981628877736727
1.1e-5,1.042964603307989,1.0160099889970986,1.0616841001336228,1.045711084164004,1.0321158045667658,1.0000000036572505,1.0032737042256643,1.0781865688977759,1.0924146085162438,1.051885139462307,1.0655481492562666,1.1099456681084492,1.0493315725611712,1.0981628877736715
0.00011099999999999999,1.0429646033079896,1.0160099889970993,1.0616841001336232,1.045711084164005,1.0321158045667664,1.0000000036572512,1.003273704225665,1.0781865688977763,1.0924146085162445,1.0518851394623077,1.0655481492562675,1.1099456681084499,1.0493315725611716,1.0981628877736722
0.0011109999999999998,1.0429646033079878,1.0160099889970975,1.0616841001336217,1.0457110841640034,1.0321158045667647,1.0000000036572494,1.0032737042256632,1.0781865688977748,1.0924146085162432,1.051885139462306,1.065548149256266,1.109945668108448,1.0493315725611698,1.0981628877736707
0.011110999999999996,1.0429646033079885,1.0160099889970984,1.0616841001336226,1.045711084164004,1.0321158045667653,1.0000000036572503,1.003273704225664,1.0781865688977754,1.0924146085162436,1.0518851394623068,1.0655481492562664,1.1099456681084487,1.0493315725611707,1.098162887773671
0.021110999999999998,1.0429646033079898,1.0160099889970995,1.0616841001336235,1.0457110841640052,1.0321158045667667,1.0000000036572514,1.0032737042256652,1.0781865688977763,1.092414608516245,1.051885139462308,1.0655481492562677,1.10994566810845,1.0493315725611718,1.0981628877736722
0.031111,1.0429646033079882,1.0160099889970982,1.0616841001336226,1.0457110841640038,1.0321158045667653,1.00000000365725,1.003273704225664,1.0781865688977752,1.0924146085162434,1.0518851394623068,1.0655481492562664,1.1099456681084487,1.0493315725611705,1.0981628877736709
0.041111,1.04296460330799,1.0160099889970995,1.0616841001336235,1.045711084164005,1.0321158045667664,1.0000000036572516,1.0032737042256654,1.0781865688977768,1.0924146085162447,1.051885139462308,1.0655481492562675,1.1099456681084499,1.0493315725611718,1.0981628877736722
0.051111000000000004,1.0429646033079887,1.0160099889970986,1.0616841001336228,1.0457110841640043,1.0321158045667658,1.0000000036572503,1.003273704225664,1.0781865688977756,1.0924146085162438,1.051885139462307,1.0655481492562666,1.1099456681084492,1.049331572561171,1.098162887773671
0.061111000000000006,1.0429646033079891,1.0160099889970988,1.0616841001336232,1.0457110841640047,1.0321158045667662,1.0000000036572507,1.0032737042256645,1.0781865688977759,1.0924146085162445,1.0518851394623077,1.0655481492562673,1.1099456681084496,1.0493315725611714,1.098162887773672
0.07111100000000001,1.0429646033079902,1.0160099889970997,1.061684100133624,1.0457110841640056,1.032115804566767,1.0000000036572518,1.0032737042256656,1.078186568897777,1.0924146085162454,1.0518851394623083,1.065548149256268,1.1099456681084503,1.0493315725611723,1.0981628877736729
0.081111,1.0429646033079898,1.0160099889970995,1.0616841001336235,1.0457110841640054,1.0321158045667667,1.0000000036572514,1.003273704225665,1.0781865688977765,1.0924146085162447,1.0518851394623079,1.0655481492562675,1.10994566810845,1.0493315725611716,1.0981628877736724
0.091111,1.0429646033079898,1.0160099889970995,1.0616841001336237,1.0457110841640052,1.0321158045667667,1.0000000036572516,1.0032737042256654,1.0781865688977768,1.092414608516245,1.051885139462308,1.0655481492562675,1.1099456681084503,1.049331572561172,1.0981628877736724
0.10111099999999999,1.0429646033079887,1.0160099889970984,1.0616841001336226,1.045711084164004,1.0321158045667653,1.0000000036572503,1.003273704225664,1.0781865688977752,1.0924146085162434,1.0518851394623068,1.0655481492562664,1.109945668108449,1.0493315725611707,1.0981628877736709
0.11111099999999999,1.042964603307989,1.0160099889970986,1.061684100133623,1.0457110841640043,1.0321158045667655,1.0000000036572505,1.0032737042256643,1.0781865688977759,1.092414608516244,1.051885139462307,1.0655481492562666,1.1099456681084494,1.0493315725611712,1.0981628877736718
0.12111099999999998,1.0429646033079896,1.0160099889970995,1.0616841001336235,1.045711084164005,1.0321158045667662,1.0000000036572514,1.0032737042256652,1.0781865688977765,1.0924146085162447,1.0518851394623079,1.0655481492562673,1.1099456681084499,1.0493315725611718,1.0981628877736722
0.13111099999999998,1.042964603307989,1.0160099889970986,1.0616841001336228,1.0457110841640043,1.0321158045667655,1.0000000036572505,1.003273704225664,1.0781865688977756,1.0924146085162438,1.051885139462307,1.0655481492562666,1.1099456681084494,1.049331572561171,1.0981628877736713
0.141111,1.04296460330799,1.0160099889970995,1.0616841001336237,1.0457110841640054,1.0321158045667667,1.0000000036572516,1.0032737042256654,1.0781865688977768,1.0924146085162447,1.0518851394623083,1.0655481492562677,1.10994566810845,1.049331572561172,1.0981628877736722
0.151111,1.0429646033079905,1.0160099889971,1.061684100133624,1.0457110841640056,1.032115804566767,1.000000003657252,1.0032737042256659,1.078186568897777,1.0924146085162454,1.0518851394623088,1.0655481492562682,1.1099456681084503,1.049331572561172,1.0981628877736729
0.161111,1.0429646033079891,1.0160099889970986,1.0616841001336232,1.0457110841640045,1.0321158045667658,1.0000000036572507,1.0032737042256645,1.078186568897776,1.092414608516244,1.0518851394623072,1.0655481492562668,1.1099456681084494,1.0493315725611712,1.0981628877736715
