,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,5.82106727,77.34016642,354.0987566,0.019891854,0.048782444,154.5153587,260.7584329,116.3393472,1.058911638,0.159805305,34.56565131,249.7893044,346.2891621,0.799682959
1,10.73333552,106.4476877,357.234016,0.002543845,0.083752756,192.1651701,297.0611401,145.3285872,1.388433988,0.682497321,49.20772269,285.0328691,355.1778553,1.743443938
2,14.80448608,133.5943372,358.1769512,0.042567149,0.129177686,216.0015389,315.4301198,158.7164742,1.610934084,1.381729999,56.23157947,292.4226509,357.7892666,4.173654651
3,14.362489,140.2065165,359.2212475,0.062604056,0.181474334,231.7756003,320.9544813,170.5750705,2.062485695,1.684268558,56.23636166,300.1401266,353.528024,4.337735784
4,15.15580389,141.4243408,359.6705382,0.039466551,0.288499549,247.712242,320.3963335,190.0427857,2.029282958,3.244081099,60.53573535,304.9130429,341.3284759,5.257173356
5,18.63968256,144.8299827,359.5763007,0,0.852285884,258.5586539,293.6175684,201.3374599,1.665018905,6.233309009,68.83649489,307.8306548,324.5726834,8.661704834
6,35.78248073,106.1818304,356.0002619,1.16759E-05,1.224086418,250.5460971,258.9199548,233.2570063,4.232217799,13.11679556,49.39282052,307.9021904,306.1040504,17.20354608
7,57.26016309,137.5718065,357.6020626,6.3805E-06,3.539837959,271.2153237,239.2816886,252.2125318,5.643988096,16.83998814,73.10029181,311.6641863,316.7417181,26.88069426
8,96.42647566,148.4833681,356.9904189,14.36758818,6.863555352,265.2084787,219.454793,262.3513761,159.2176734,21.12502308,89.89512856,316.9017711,316.7252018,147.4196044
9,124.0590796,147.2336933,509.5868062,84.86680625,64.50706005,257.9605369,290.6824687,298.5505441,207.7260423,83.41096104,105.0890668,314.1960956,535.3839578,167.0608675
10,134.4396092,136.1109109,541.0694858,97.34486443,79.11156106,235.3287612,314.5209217,266.8823097,231.9957011,106.8729638,111.7482778,310.2147942,551.7483097,179.7623455
11,144.5178333,117.4584304,536.9609296,109.4641033,79.81282695,200.390412,319.4188006,229.2000246,227.4529183,112.4048642,106.9656188,301.4971755,544.3800403,173.1750694
12,110.1596992,80.22386709,482.294169,88.90481279,65.86929787,122.9353722,316.5812521,177.2981347,183.8230247,105.2116192,68.37881397,220.9975452,469.8136903,145.2026018
13,127.4048395,89.85418895,438.7075611,25.63198148,47.74633757,159.7310373,283.307578,177.850323,130.1027585,78.20302789,69.84087414,256.8224394,431.7654091,114.712845
14,115.3498667,73.09027849,269.1889875,10.82340317,26.51102406,141.6334458,206.60122,159.2487551,49.63151483,47.9117017,51.85691834,240.5299338,262.1120462,59.90638731
15,87.81493719,57.86240864,225.8470278,0.844474556,13.82367705,116.6912759,151.3340959,135.4430326,4.534962083,27.71071912,35.05162651,221.7565495,234.8652003,29.0974367
16,73.85913036,51.73415417,194.4563598,0.002940343,12.07138537,104.9497585,138.7904706,120.4620731,6.428178667,24.594993,25.70450262,203.1444378,224.5844984,29.0667888
17,64.74087903,45.08704496,172.9146416,0.003696928,5.770535428,92.28273556,129.2750344,112.5091761,11.71271131,22.20982158,20.57499256,183.94835,220.4378996,32.41067464
18,57.18851434,39.24715846,125.3043949,0.010931316,12.13310113,92.06817626,128.9045697,96.86288653,22.45391991,28.38895926,17.72168719,97.49075176,153.6733427,39.61370064
19,54.94714138,40.08778844,133.6562139,0.005590416,5.447682941,123.3472665,139.7063809,125.9626548,21.74907578,16.62601294,19.74762136,128.9324347,163.3422934,42.94533629
20,39.16389277,32.82080957,136.3233192,0.002942817,4.91104381,149.2838383,139.0110699,142.4691834,15.6549154,9.010426577,14.0928769,148.755194,169.2314193,36.21884213
21,30.32589113,33.95507816,123.2911501,0.000473784,2.620207577,147.690578,145.6453816,144.0064139,13.28450897,5.752795444,15.14134534,143.9679541,184.8774739,31.87276163
22,24.81916071,36.49374732,119.3428219,1.46178E-05,1.40340211,145.7503825,145.8079658,145.1547469,12.69867513,5.653134554,20.93168293,132.4065997,195.67918,32.29123492
23,19.41405024,44.67418739,122.600071,0,0.406120055,137.9165084,143.8537963,137.5308837,13.14747561,6.567082426,32.75577109,113.2753999,197.8647922,32.42432625
