time,o5,o12,o13
0.0,0.9999999993134072,0.9999999993134072,0.9999999993134072
1.0e-6,0.9999999993134072,0.9999999993134072,0.9999999993134072
1.0272939948947993e-5,0.9999999993134072,0.9999999993134072,0.9999999993134072
0.00010022103714694229,0.9999999993134072,0.9999999993134072,0.9999999993134072
0.0009997020091268853,0.9999999993134072,0.9999999993134072,0.9999999993134072
0.009330076928110042,0.9999999993134073,0.9999999993134072,0.9999999993134072
0.019330076928110042,0.9999999993134073,0.9999999993134072,0.9999999993134072
0.029330076928110044,0.9999999993134073,0.9999999993134072,0.9999999993134072
0.039330076928110046,0.9999999993134073,0.9999999993134072,0.9999999993134072
0.04933007692811005,0.9999999993134073,0.9999999993134072,0.9999999993134072
0.05933007692811005,0.9999999993134074,0.9999999993134072,0.9999999993134072
0.06933007692811005,0.9999999993134074,0.9999999993134072,0.9999999993134072
0.07933007692811005,0.9999999993134074,0.9999999993134072,0.9999999993134072
0.08933007692811004,0.9999999993134074,0.9999999993134072,0.9999999993134072
0.09933007692811004,0.9999999993134074,0.9999999993134072,0.9999999993134072
0.10933007692811003,0.9999999993134074,0.9999999993134072,0.9999999993134072
0.11933007692811003,0.9999999993134073,0.9999999993134072,0.9999999993134072
0.12933007692811002,0.9999999993134074,0.9999999993134072,0.9999999993134072
0.13933007692811003,0.9999999993134074,0.9999999993134072,0.9999999993134072
0.14933007692811004,0.9999999993134074,0.9999999993134072,0.9999999993134072
0.15933007692811005,0.9999999993134074,0.9999999993134072,0.9999999993134072
0.16933007692811006,0.9999999993134074,0.9999999993134073,0.9999999993134072
0.17933007692811007,0.9999999993134074,0.9999999993134073,0.9999999993134072
0.18933007692811007,0.9999999993134074,0.9999999993134073,0.9999999993134072
0.19933007692811008,0.9999999993134074,0.9999999993134073,0.9999999993134072
0.2093300769281101,0.9999999993134073,0.9999999993134073,0.9999999993134073
0.2193300769281101,0.9999999993134073,0.9999999993134073,0.9999999993134073
0.2293300769281101,0.9999999993134073,0.9999999993134073,0.9999999993134074
0.23933007692811012,0.9999999993134073,0.9999999993134073,0.9999999993134074
0.24933007692811013,0.9999999993134073,0.9999999993134073,0.9999999993134076
0.2593300769281101,0.9999999993134073,0.9999999993134073,0.9999999993134076
0.2693300769281101,0.9999999993134072,0.9999999993134073,0.9999999993134076
0.2793300769281101,0.9999999993134071,0.9999999993134074,0.9999999993134076
0.28933007692811014,0.9999999993134071,0.9999999993134074,0.9999999993134076
0.29933007692811014,0.9999999993134071,0.9999999993134074,0.9999999993134076
0.30933007692811015,0.9999999993134071,0.9999999993134074,0.9999999993134076
0.31933007692811016,0.9999999993134071,0.9999999993134074,0.9999999993134076
0.32933007692811017,0.999999999313407,0.9999999993134074,0.9999999993134076
0.3393300769281102,0.999999999313407,0.9999999993134074,0.9999999993134076
0.3493300769281102,0.999999999313407,0.9999999993134074,0.9999999993134076
0.3593300769281102,0.999999999313407,0.9999999993134074,0.9999999993134076
0.3693300769281102,0.999999999313407,0.9999999993134074,0.9999999993134076
0.3793300769281102,0.999999999313407,0.9999999993134074,0.9999999993134076
0.3893300769281102,0.9999999993134071,0.9999999993134074,0.9999999993134074
0.39933007692811023,0.9999999993134071,0.9999999993134074,0.9999999993134073
0.40933007692811024,0.9999999993134072,0.9999999993134074,0.9999999993134072
0.41933007692811025,0.9999999993134071,0.9999999993134074,0.9999999993134072
0.42933007692811026,0.999999999313407,0.9999999993134074,0.9999999993134071
0.43933007692811027,0.999999999313407,0.9999999993134073,0.999999999313407
0.4493300769281103,0.9999999993134071,0.9999999993134073,0.9999999993134069
0.4593300769281103,0.9999999993134072,0.9999999993134072,0.9999999993134069
0.4693300769281103,0.9999999993134072,0.9999999993134072,0.9999999993134069
0.4793300769281103,0.9999999993134073,0.9999999993134071,0.9999999993134069
0.4893300769281103,0.9999999993134073,0.999999999313407,0.9999999993134069
0.4993300769281103,0.9999999993134074,0.999999999313407,0.9999999993134069
0.5093300769281103,0.9999999993134074,0.999999999313407,0.9999999993134069
0.5193300769281103,0.9999999993134074,0.999999999313407,0.9999999993134069
0.5293300769281103,0.9999999993134074,0.999999999313407,0.9999999993134069
0.5393300769281103,0.9999999993134074,0.999999999313407,0.9999999993134069
0.5493300769281103,0.9999999993134076,0.999999999313407,0.9999999993134069
0.5593300769281103,0.9999999993134076,0.999999999313407,0.9999999993134069
0.5693300769281103,0.9999999993134076,0.999999999313407,0.999999999313407
0.5793300769281103,0.9999999993134076,0.999999999313407,0.9999999993134071
0.5893300769281103,0.9999999993134074,0.999999999313407,0.9999999993134072
0.5993300769281104,0.9999999993134074,0.999999999313407,0.9999999993134073
0.6093300769281104,0.9999999993134073,0.999999999313407,0.9999999993134074
0.6193300769281104,0.9999999993134072,0.999999999313407,0.9999999993134074
0.6293300769281104,0.9999999993134072,0.999999999313407,0.9999999993134074
0.6393300769281104,0.9999999993134072,0.999999999313407,0.9999999993134074
0.6493300769281104,0.9999999993134072,0.999999999313407,0.9999999993134074
0.6593300769281104,0.9999999993134071,0.9999999993134071,0.9999999993134074
0.6693300769281104,0.9999999993134071,0.9999999993134072,0.9999999993134074
0.6793300769281104,0.9999999993134071,0.9999999993134073,0.9999999993134074
0.6893300769281104,0.999999999313407,0.9999999993134073,0.9999999993134074
0.6993300769281104,0.999999999313407,0.9999999993134073,0.9999999993134074
0.7093300769281105,0.999999999313407,0.9999999993134073,0.9999999993134074
0.7193300769281105,0.999999999313407,0.9999999993134073,0.9999999993134074
0.7293300769281105,0.999999999313407,0.9999999993134073,0.9999999993134074
