name,v_nom,x,y,control,generator
0,380.0,9.742651719915111,52.12318038883556,Slack,1 Gas
1,380.0,10.37621412877421,48.07203658438158,PQ,
10,380.0,9.097493609303,50.167567287623335,PQ,
11,380.0,6.814023388836296,51.26168175578611,PQ,
12,380.0,8.0081355479516,53.242114860612,PQ,
13,380.0,8.777248300392692,49.11385507531346,PQ,
2,380.0,13.73371351605946,52.19264139297297,PQ,
3,380.0,6.8004509227800005,49.752320900940006,PQ,
4,380.0,12.054380645378124,48.70351499805312,PQ,
5,380.0,11.834491263191893,51.03580716272162,PQ,
6,380.0,7.7598088398223375,51.765543756258445,PQ,
7,380.0,12.562037549426666,53.87439716302,PQ,
8,380.0,9.641886624355557,53.95753515368333,PQ,
9,380.0,8.113132500153043,47.79216789045652,PQ,
