name,bus_id,fuel,unit_type,fuel_price,active_power,active_power_limits_max,active_power_limits_min,reactive_power_limits_max,reactive_power_limits_min,min_down_time,min_up_time,base_mva,heat_rate_avg_0,output_point_0
Gas_0,0,NATURAL_GAS,GT,8.0,2373.7436494841045,2854.2000000000007,0.0,3425.040000000001,-3425.040000000001,1.0,3.0,100.0,0.1,1.0
Gas_1,1,NATURAL_GAS,GT,8.0,4027.9500000000003,4027.9500000000003,0.0,4833.54,-4833.54,1.0,3.0,100.0,0.1,1.0
Gas_2,2,NATURAL_GAS,GT,8.0,687.5,687.5,0.0,825.0,-825.0,1.0,3.0,100.0,0.1,1.0
Gas_3,3,NATURAL_GAS,GT,8.0,375.5,1632.5,0.0,1959.0,-1959.0,1.0,3.0,100.0,0.1,1.0
Gas_4,4,NATURAL_GAS,GT,8.0,1702.44,1702.44,0.0,2042.9279999999999,-2042.9279999999999,1.0,3.0,100.0,0.1,1.0
Gas_5,5,NATURAL_GAS,GT,8.0,480.49090276200593,2135.8,0.0,2562.96,-2562.96,1.0,3.0,100.0,0.1,1.0
Gas_6,6,NATURAL_GAS,GT,8.0,432.29999999999995,432.29999999999995,0.0,518.7599999999999,-518.7599999999999,1.0,3.0,100.0,0.1,1.0
Gas_7,7,NATURAL_GAS,GT,8.0,154.7,154.7,0.0,185.64,-185.64,1.0,3.0,100.0,0.1,1.0
Gas_8,8,NATURAL_GAS,GT,8.0,2329.7,2329.7,0.0,2795.64,-2795.64,1.0,3.0,100.0,0.1,1.0
Gas_9,9,NATURAL_GAS,GT,8.0,4246.599999999999,4246.599999999999,0.0,5095.919999999999,-5095.919999999999,1.0,3.0,100.0,0.1,1.0
Gas_10,10,NATURAL_GAS,GT,8.0,1355.6,1355.6,0.0,1626.7199999999998,-1626.7199999999998,1.0,3.0,100.0,0.1,1.0
Gas_11,11,NATURAL_GAS,GT,8.0,1019.9000000000001,1019.9000000000001,0.0,1223.88,-1223.88,1.0,3.0,100.0,0.1,1.0
Gas_12,12,NATURAL_GAS,GT,8.0,318.4,318.4,0.0,382.08,-382.08,1.0,3.0,100.0,0.1,1.0
Gas_13,13,NATURAL_GAS,GT,8.0,167.1,1015.54,0.0,1218.648,-1218.648,1.0,3.0,100.0,0.1,1.0
Hard Coal_0,0,COAL,ST,25.0,0.0,3490.9,0.0,4189.08,-4189.08,1.0,3.0,100.0,0.1,1.0
Hard Coal_1,1,COAL,ST,25.0,0.0,127.5,0.0,153.0,-153.0,1.0,3.0,100.0,0.1,1.0
Hard Coal_2,2,COAL,ST,25.0,0.0,529.2,0.0,635.0400000000001,-635.0400000000001,1.0,3.0,100.0,0.1,1.0
Hard Coal_3,3,COAL,ST,25.0,0.0,1906.3,0.0,2287.56,-2287.56,1.0,3.0,100.0,0.1,1.0
Hard Coal_4,4,COAL,ST,25.0,0.0,5780.3,0.0,6936.36,-6936.36,1.0,3.0,100.0,0.1,1.0
Hard Coal_5,5,COAL,ST,25.0,0.0,777.0,0.0,932.4,-932.4,1.0,3.0,100.0,0.1,1.0
Hard Coal_6,6,COAL,ST,25.0,0.0,1690.0,0.0,2028.0,-2028.0,1.0,3.0,100.0,0.1,1.0
Hard Coal_7,7,COAL,ST,25.0,0.0,18.5,0.0,22.2,-22.2,1.0,3.0,100.0,0.1,1.0
Hard Coal_8,8,COAL,ST,25.0,0.0,805.0,0.0,966.0,-966.0,1.0,3.0,100.0,0.1,1.0
Hard Coal_9,9,COAL,ST,25.0,0.0,4832.5,0.0,5799.0,-5799.0,1.0,3.0,100.0,0.1,1.0
Hard Coal_10,10,COAL,ST,25.0,0.0,17.4,0.0,20.88,-20.88,1.0,3.0,100.0,0.1,1.0
Hard Coal_11,11,COAL,ST,25.0,0.0,2597.0,0.0,3116.4,-3116.4,1.0,3.0,100.0,0.1,1.0
Hard Coal_12,12,COAL,ST,25.0,0.0,508.0,0.0,609.6,-609.6,1.0,3.0,100.0,0.1,1.0
Hard Coal_13,13,COAL,ST,25.0,0.0,2233.0,0.0,2679.6,-2679.6,1.0,3.0,100.0,0.1,1.0
Run of River_0,0,HYDROROR,HA,3.0,257.4,257.4,0.0,308.87999999999994,-308.87999999999994,1.0,3.0,100.0,0.1,1.0
Run of River_1,1,HYDROROR,HA,3.0,164.5,164.5,0.0,197.4,-197.4,1.0,3.0,100.0,0.1,1.0
Run of River_2,2,HYDROROR,HA,3.0,910.4000000000001,910.4000000000001,0.0,1092.48,-1092.48,1.0,3.0,100.0,0.1,1.0
Run of River_3,3,HYDROROR,HA,3.0,23.5,23.5,0.0,28.2,-28.2,1.0,3.0,100.0,0.1,1.0
Run of River_4,4,HYDROROR,HA,3.0,150.2,150.2,0.0,180.23999999999998,-180.23999999999998,1.0,3.0,100.0,0.1,1.0
Run of River_5,5,HYDROROR,HA,3.0,31.7,31.7,0.0,38.04,-38.04,1.0,3.0,100.0,0.1,1.0
Run of River_6,6,HYDROROR,HA,3.0,374.8,374.8,0.0,449.76,-449.76,1.0,3.0,100.0,0.1,1.0
Run of River_7,7,HYDROROR,HA,3.0,265.9,265.9,0.0,319.08,-319.08,1.0,3.0,100.0,0.1,1.0
Run of River_8,8,HYDROROR,HA,3.0,1091.0,1091.0,0.0,1309.2,-1309.2,1.0,3.0,100.0,0.1,1.0
Run of River_9,9,HYDROROR,HA,3.0,379.5,379.5,0.0,455.4,-455.4,1.0,3.0,100.0,0.1,1.0
Run of River_10,10,HYDROROR,HA,3.0,89.0,89.0,0.0,106.8,-106.8,1.0,3.0,100.0,0.1,1.0
Run of River_11,11,HYDROROR,HA,3.0,203.3,203.3,0.0,243.96,-243.96,1.0,3.0,100.0,0.1,1.0
Run of River_12,12,HYDROROR,HA,3.0,48.0,48.0,0.0,57.599999999999994,-57.599999999999994,1.0,3.0,100.0,0.1,1.0
Run of River_13,13,HYDROROR,HA,3.0,9.9,9.9,0.0,11.88,-11.88,1.0,3.0,100.0,0.1,1.0
Waste_0,0,MUNICIPAL_WASTE,ST,6.0,400.00000000000006,400.00000000000006,0.0,480.00000000000006,-480.00000000000006,1.0,3.0,100.0,0.1,1.0
Waste_1,1,MUNICIPAL_WASTE,ST,6.0,239.8,239.8,0.0,287.76,-287.76,1.0,3.0,100.0,0.1,1.0
Waste_2,2,MUNICIPAL_WASTE,ST,6.0,21.0,21.0,0.0,25.2,-25.2,1.0,3.0,100.0,0.1,1.0
Waste_3,3,MUNICIPAL_WASTE,ST,6.0,85.9,85.9,0.0,103.08,-103.08,1.0,3.0,100.0,0.1,1.0
Waste_4,4,MUNICIPAL_WASTE,ST,6.0,261.0,261.0,0.0,313.2,-313.2,1.0,3.0,100.0,0.1,1.0
Waste_5,5,MUNICIPAL_WASTE,ST,6.0,178.6,178.6,0.0,214.32,-214.32,1.0,3.0,100.0,0.1,1.0
