name,bus0,bus1,c_nfkm,cables,frequency,from_relation,i_th_max_a,length,length_m,num_parallel,operator,osm_name,r_ohmkm,ref,s_nom,type,voltage,wires,wkt_srid_4326,x_ohmkm,x,r,b,s_max_pu,build_year,carrier,x_pu_eff,r_pu_eff,s_nom_opt,v_nom
279,216,69,13.7,3.0,50.0,1636729.0,2.6,111.236,111236.0,1.0,Amprion,Kugelberg West,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(9.1907874369222 48.914416873799,8.41937105938048 49.6337356823792)",0.25,27.364056,3.33708,0.00048225231657230566,0.7,0,AC,0.0001895017728531856,2.3109972299168975e-05,1711.26619788,380.0
280,216,69,13.7,3.0,50.0,1636730.0,2.6,111.228,111228.0,1.0,Amprion,Kugelberg Ost,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(9.1907874369222 48.914416873799,8.41937105938048 49.6337356823792)",0.25,27.362088,3.3368399999999996,0.00048221763338941,0.7,0,AC,0.00018948814404432134,2.3108310249307476e-05,1711.26619788,380.0
281,213,214,11.5,3.0,50.0,1636737.0,1.3,45.076,45076.0,1.0,Amprion,Rheinau West,0.08,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(8.58869049603326 49.8155140579794,8.5471609252134 49.4405396661002)",0.32,13.567876,2.70456,0.0001770130380665169,0.7,0,AC,0.0002803280165289256,5.58793388429752e-05,495.366530965,220.0
282,217,98,13.7,3.0,50.0,1636750.0,2.6,7.386,7386.0,1.0,50Hertz,546,0.025,546,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(12.1320699705054 54.14245987564,12.2147735096776 54.1003234403618)",0.25,1.816956,0.22158,3.2021248608391615e-05,0.7,0,AC,1.2582797783933519e-05,1.5344875346260388e-06,1711.26619788,380.0
283,42_220kV,218,11.5,3.0,50.0,1636782.0,1.3,41.565,41565.0,1.0,50Hertz Transmission,275,0.08,275,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(12.1869848227216 53.8157751724384,12.2135605440795 54.1119998545154)",0.32,12.511064999999999,2.4938999999999996,0.0001632253733080747,0.7,0,AC,0.00025849307851239666,5.152685950413222e-05,495.366530965,220.0
284,177,42_220kV,11.5,3.0,50.0,1636783.0,1.3,106.704,106704.0,1.0,50Hertz Transmission,276/317,0.08,276;317,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(13.0786421047586 54.2848461697305,12.1869848227216 53.8157751724384)",0.32,32.117903999999996,6.402239999999999,0.0004190256281358066,0.7,0,AC,0.0006635930578512396,0.0001322776859504132,495.366530965,220.0
285,219,209,13.7,3.0,50.0,1636863.0,2.6,45.492,45492.0,1.0,TenneT,,0.025,3018,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(8.5712588278729 52.1053649602273,8.93969252741257 52.4030332405173)",0.25,11.191032,1.36476,0.0001972259195360075,0.7,0,AC,7.750022160664819e-05,9.451246537396121e-06,1711.26619788,380.0
286,219,220,13.7,3.0,50.0,1636864.0,2.6,15.054,15054.0,1.0,TenneT,Eickum - Bechterdissen,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(8.5712588278729 52.1053649602273,8.65937290290079 51.9996101318907)",0.25,3.703284,0.45161999999999997,6.526507941385423e-05,0.7,0,AC,2.564601108033241e-05,3.1275623268698057e-06,1711.26619788,380.0
287,219,220,13.7,3.0,50.0,1636865.0,2.6,15.048,15048.0,1.0,TenneT,Eickum - Bechterdissen,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(8.5712588278729 52.1053649602273,8.65937290290079 51.9996101318907)",0.25,3.7018079999999998,0.45144,6.52390670266825e-05,0.7,0,AC,2.563578947368421e-05,3.126315789473684e-06,1711.26619788,380.0
288,219,209,13.7,3.0,50.0,1636866.0,2.6,45.501,45501.0,1.0,TenneT,Overstädt - Eickum,0.025,3018,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(8.5712588278729 52.1053649602273,8.93969252741257 52.4030332405173)",0.25,11.193245999999998,1.36503,0.00019726493811676507,0.7,0,AC,7.751555401662048e-05,9.453116343490305e-06,1711.26619788,380.0
