time,va0,va1,va2,va3,va4,va5,va6,va7,va8,va9,va10,va11,va12,va13
0.0,0.04510339392410934,0.03544881761319412,0.055166472511571946,0.0684709620783104,0.06143246264274358,7.735666678922613e-9,0.017250516225191165,0.05168947094372874,0.10441592073566912,0.06735948661157948,0.09124008645882911,0.0954887042558087,0.05363975141454243,0.09525280307913095
1.0e-6,0.045103393924110335,0.035448817613195106,0.05516647251157275,0.06847096207831149,0.06143246264274457,7.735667542479699e-9,0.017250516225192115,0.05168947094372963,0.10441592073567005,0.06735948661158045,0.09124008645882993,0.09548870425580945,0.053639751414543045,0.0952528030791318
1.06980680929941e-5,0.045103393924108906,0.03544881761319376,0.05516647251157129,0.06847096207830992,0.06143246264274323,7.735666054746395e-9,0.017250516225190613,0.05168947094372814,0.10441592073566858,0.06735948661157898,0.09124008645882867,0.09548870425580808,0.05363975141454163,0.09525280307913035
0.00010574890472281338,0.04510339392410789,0.03544881761319281,0.05516647251157038,0.06847096207830915,0.06143246264274244,7.73566508787088e-9,0.01725051622518963,0.05168947094372721,0.10441592073566783,0.06735948661157816,0.09124008645882795,0.0954887042558073,0.053639751414540776,0.09525280307912944
0.0009753972466266921,0.04510339392410945,0.03544881761319432,0.05516647251157176,0.06847096207831066,0.06143246264274396,7.735666594866944e-9,0.01725051622519118,0.051689470943728756,0.10441592073566942,0.06735948661157971,0.09124008645882939,0.09548870425580867,0.05363975141454211,0.0952528030791311
0.009671880665665478,0.045103393924109655,0.03544881761319439,0.05516647251157203,0.0684709620783108,0.061432462642743796,7.735666838939081e-9,0.017250516225191283,0.051689470943729006,0.1044159207356695,0.06735948661157978,0.09124008645882928,0.09548870425580891,0.053639751414542323,0.09525280307913131
0.019671880665665477,0.04510339392411038,0.03544881761319516,0.05516647251157267,0.06847096207831145,0.06143246264274464,7.735667560674737e-9,0.01725051622519219,0.05168947094372964,0.10441592073567015,0.06735948661158053,0.09124008645883011,0.09548870425580945,0.053639751414543184,0.09525280307913199
0.02967188066566548,0.0451033939241089,0.03544881761319371,0.055166472511571536,0.06847096207831008,0.06143246264274317,7.735666167114654e-9,0.017250516225190762,0.05168947094372836,0.1044159207356688,0.06735948661157909,0.09124008645882872,0.09548870425580845,0.05363975141454183,0.09525280307913062
0.03967188066566548,0.045103393924109926,0.03544881761319471,0.05516647251157229,0.0684709620783111,0.06143246264274436,7.7356670860921e-9,0.017250516225191633,0.05168947094372922,0.10441592073566983,0.06735948661158017,0.09124008645882982,0.09548870425580916,0.05363975141454265,0.09525280307913156
0.04967188066566548,0.04510339392410862,0.035448817613193316,0.05516647251157099,0.06847096207830976,0.0614324626427429,7.73566566255083e-9,0.017250516225190242,0.05168947094372786,0.10441592073566848,0.0673594866115787,0.09124008645882827,0.09548870425580783,0.05363975141454125,0.09525280307913024
0.059671880665665485,0.045103393924109454,0.035448817613194385,0.05516647251157173,0.0684709620783105,0.06143246264274391,7.735666764453831e-9,0.017250516225191293,0.05168947094372864,0.10441592073566915,0.0673594866115797,0.09124008645882936,0.09548870425580844,0.05363975141454218,0.09525280307913087
0.06967188066566549,0.045103393924110974,0.03544881761319599,0.055166472511573535,0.06847096207831205,0.06143246264274541,7.735668345424669e-9,0.017250516225192955,0.05168947094373027,0.10441592073567064,0.0673594866115812,0.09124008645883078,0.09548870425581017,0.053639751414544024,0.09525280307913231
0.07967188066566548,0.045103393924108885,0.035448817613193746,0.05516647251157135,0.06847096207831015,0.061432462642743324,7.735666026543108e-9,0.017250516225190672,0.051689470943728257,0.10441592073566881,0.06735948661157912,0.09124008645882882,0.09548870425580815,0.05363975141454163,0.09525280307913053
0.08967188066566548,0.045103393924110155,0.035448817613194857,0.05516647251157259,0.06847096207831115,0.0614324626427443,7.73566734088348e-9,0.017250516225191862,0.05168947094372954,0.10441592073566981,0.06735948661158014,0.09124008645882964,0.0954887042558094,0.05363975141454283,0.09525280307913173
0.09967188066566547,0.04510339392411023,0.035448817613195155,0.055166472511572494,0.0684709620783115,0.06143246264274463,7.73566754300445e-9,0.017250516225192067,0.05168947094372946,0.10441592073567006,0.06735948661158052,0.09124008645883008,0.09548870425580921,0.0536397514145429,0.09525280307913167
0.10967188066566547,0.04510339392410942,0.03544881761319417,0.05516647251157165,0.0684709620783107,0.061432462642743754,7.73566649306577e-9,0.017250516225191043,0.05168947094372869,0.10441592073566945,0.06735948661157964,0.0912400864588291,0.09548870425580853,0.05363975141454202,0.09525280307913116
0.11967188066566546,0.045103393924110814,0.03544881761319552,0.05516647251157335,0.06847096207831184,0.06143246264274488,7.735668039320618e-9,0.017250516225192577,0.05168947094373024,0.10441592073567052,0.06735948661158085,0.09124008645883037,0.09548870425581003,0.05363975141454355,0.09525280307913248
0.12967188066566546,0.045103393924108906,0.03544881761319378,0.05516647251157137,0.0684709620783102,0.06143246264274335,7.735666084399905e-9,0.017250516225190644,0.051689470943728166,0.1044159207356688,0.06735948661157909,0.09124008645882883,0.09548870425580816,0.05363975141454173,0.09525280307913046
0.13967188066566547,0.04510339392410821,0.03544881761319297,0.055166472511570634,0.06847096207830934,0.0614324626427425,7.735665410903804e-9,0.01725051622519001,0.05168947094372759,0.10441592073566805,0.06735948661157833,0.09124008645882804,0.09548870425580754,0.05363975141454102,0.09525280307912984
0.14967188066566547,0.04510339392410999,0.03544881761319457,0.055166472511572286,0.06847096207831085,0.0614324626427441,7.735667098926406e-9,0.017250516225191595,0.05168947094372927,0.10441592073566958,0.06735948661157996,0.09124008645882949,0.09548870425580912,0.05363975141454261,0.09525280307913143
