name,v_nom,x,y,control,generator
0,380.0,12.135131501803333,48.65850315220334,PQ,
1,380.0,6.880000193297154,51.299023215429266,PQ,
10,380.0,8.906993365877534,49.509801704538354,PQ,
11,380.0,13.464351641241668,52.61330764809167,PQ,
12,380.0,7.949047097397719,51.7165829358386,PQ,
13,380.0,6.8004509227800005,49.752320900940006,PQ,
2,380.0,12.50986979103125,53.79280652745,PQ,
3,380.0,8.174286853733571,47.946930337792864,PQ,
4,380.0,9.641886624355557,53.95753515368333,PQ,
5,380.0,14.166383264492856,51.33962286935,PQ,
6,380.0,11.794926237842857,51.011701309762856,PQ,
7,380.0,9.752410170418912,52.076888862276085,Slack,1 Gas
8,380.0,10.379151118671464,48.1511284243439,PQ,
9,380.0,7.85582321888875,53.0743374275125,PQ,
