,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,1283.44964841,509.929838877551,869.595366190049,15004.7526258705,-6845.06479152,-3422.53239576,1711.26619788,5347.89972213848,211.631462145732,1711.26619788,-4331.24775426965,865.184374560069,1778.816179375,2814.582562302,-4876.74503903748,13712.646243537,5876.848390087,1962.1742727756,-3689.52491091393,1350.999629904,-6124.531655568,1707.55030757507,2783.91199169161,-4278.165494698,-1711.26619788
1,1283.44964841,-879.64722403681,2007.00916251567,14622.2861439282,-6845.06479152,-3350.47871974202,1711.26619788,5368.81853354802,298.271887273492,1711.26619788,-2998.60012910838,-1008.53189785064,1660.22325505775,2814.582562302,-5133.79859364,12924.5077416051,5876.848390087,2033.62461262898,-3985.44890822,1350.999629904,-6124.531655568,1958.94946336,3292.21139685705,-4278.165494698,-1711.26619788
2,1283.44964841,-457.676838518702,1355.30213821626,15198.745836429,-6175.4510581084,-3200.01830905126,1711.26619788,4767.66532649451,-90.551520421971,1711.26619788,-3160.84849786213,-236.744898777675,1553.12959750398,2756.27988354547,-5133.79859364,13127.3863565156,5876.848390087,1871.98274301868,-3985.44890822,1350.999629904,-6124.531655568,1958.94946336,3117.05350056907,-4278.165494698,-1711.26619788
3,1283.44964841,-993.721664371895,1762.58116544026,15198.745836429,-5854.74679551993,-3422.53239576,1711.26619788,4487.58802854025,-45.6100824432187,1711.26619788,-2751.98881847353,-628.882109552547,1386.55315301004,2814.582562302,-5133.79859364,12927.6600353758,5876.848390087,855.503618222846,-3178.92230878241,1350.999629904,-6124.531655568,921.418692654666,3058.92684146224,-4278.165494698,-1711.26619788
4,1283.44964841,-435.033148395832,1006.46153815858,15198.745836429,-6129.20390502681,-3422.53239576,1711.26619788,4824.09394179505,22.7404047983446,1711.26619788,-2301.38153612535,-1827.36725565571,1264.20470081189,2814.582562302,-5133.79859364,12743.7510163654,5876.848390087,851.03157783261,-3335.80975787786,1350.999629904,-6124.531655568,918.132400650651,2944.62069349943,-4278.165494698,-1711.26619788
5,1283.44964841,-1313.75227096965,2929.78873529607,15198.745836429,-6845.06479152,-3228.60106233977,1711.26619788,5657.86526623902,148.768393236035,1711.26619788,-1717.39633291073,-4006.23457051941,1073.75689998681,2814.582562302,-5133.79859364,12480.7607031438,5876.848390087,-692.569285446055,-2032.21085400269,1350.999629904,-6124.531655568,411.933008995416,2822.32439625762,-4278.165494698,-1711.26619788
6,1283.44964841,-1056.78759022113,2651.8537619698,15198.745836429,-6845.06479152,-3138.9485670456,1711.26619788,5668.68847777672,147.846928804543,1711.26619788,-2073.82330939059,-3719.49912330611,1097.03682587507,2814.582562302,-5133.79859364,12724.5216416591,5876.848390087,-728.110065039298,-1916.97599631102,1350.999629904,-6124.531655568,-82.5766386945816,2785.68986885415,-4278.165494698,-1711.26619788
7,1283.44964841,-818.541297098379,2447.84284881932,15198.745836429,-6581.84442725434,-3422.53239576,1711.26619788,5401.84800643433,120.65466921622,1711.26619788,-1893.74285655563,-3547.8887780184,1148.33636932646,2814.582562302,-5133.79859364,12572.661655627,5876.848390087,-212.228774659621,-2289.32018880334,1350.999629904,-6124.531655568,-145.516112636743,2757.23550579115,-4278.165494698,-1711.26619788
8,1283.44964841,-1337.25589539232,1670.17331482578,15198.745836429,-6241.67370343688,-3422.53239576,1711.26619788,4876.4594675702,76.4228204356359,1711.26619788,-3379.93767475665,-1067.5023688802,1338.9545443949,2814.582562302,-5133.79859364,13712.646243537,4877.42484113047,1606.68667595281,-3958.73735718405,1350.999629904,-6124.531655568,1910.56943293511,2749.79838131539,-4278.165494698,-1711.26619788
9,1283.44964841,-2814.582562301,3296.16797821498,15198.745836429,-6845.06479152,-2403.8066955929,1711.26619788,5733.6787446472,284.29281659498,1711.26619788,-2995.2946356163,-2170.20051574619,1542.37050327616,2814.582562302,-5133.79859364,12969.2404996529,5876.848390087,-864.605197190914,-1796.86562799611,1350.999629904,-6124.531655568,13.4374953536458,2862.23517185675,-4278.165494698,-1711.26619788
