time,va0,va1,va2,va3,va4,va5,va6,va7,va8,va9,va10,va11,va12,va13
0.0,0.1301981810493674,0.11962080025450907,0.1945951654510983,0.22939613265803604,0.2227969297022947,3.5182974590733414e-9,0.11308647074286135,0.16628611977768118,0.2213496607562647,0.17115250798338033,0.2077770998220239,0.21381551979403687,0.13298255980744364,0.19671314389201724
1.0e-6,0.13019818104936945,0.11962080025451113,0.19459516545109995,0.22939613265803804,0.22279692970229675,3.5182995190366126e-9,0.11308647074286324,0.16628611977768296,0.22134966075626666,0.1711525079833824,0.207777099822026,0.21381551979403857,0.13298255980744544,0.19671314389201902
1.1e-5,0.13019818104936837,0.11962080025451012,0.1945951654510991,0.22939613265803727,0.2227969297022958,3.5182984561831507e-9,0.11308647074286227,0.1662861197776819,0.2213496607562658,0.17115250798338152,0.20777709982202505,0.2138155197940377,0.1329825598074445,0.19671314389201802
0.00011099999999999999,0.13019818104936856,0.11962080025451044,0.19459516545109928,0.2293961326580374,0.22279692970229598,3.518298832008052e-9,0.11308647074286264,0.16628611977768215,0.22134966075626605,0.17115250798338175,0.20777709982202516,0.21381551979403784,0.13298255980744483,0.1967131438920182
0.0011109999999999998,0.13019818104936942,0.11962080025451118,0.19459516545109973,0.22939613265803802,0.22279692970229664,3.518299672470652e-9,0.11308647074286333,0.16628611977768284,0.22134966075626664,0.17115250798338244,0.2077770998220258,0.21381551979403826,0.13298255980744536,0.1967131438920189
0.011110999999999996,0.13019818104936703,0.1196208002545088,0.19459516545109806,0.22939613265803604,0.22279692970229464,3.5182969756890303e-9,0.11308647074286103,0.16628611977768082,0.22134966075626464,0.17115250798338022,0.20777709982202386,0.21381551979403657,0.1329825598074433,0.1967131438920168
0.021110999999999998,0.1301981810493705,0.11962080025451216,0.194595165451101,0.2293961326580391,0.22279692970229764,3.5183008409905076e-9,0.11308647074286443,0.16628611977768407,0.22134966075626775,0.17115250798338352,0.20777709982202683,0.21381551979403968,0.13298255980744655,0.19671314389202002
0.031111,0.13019818104937025,0.11962080025451202,0.19459516545110095,0.229396132658039,0.22279692970229767,3.5183003859103376e-9,0.11308647074286421,0.1662861197776839,0.22134966075626755,0.17115250798338325,0.20777709982202686,0.2138155197940395,0.1329825598074464,0.19671314389201996
0.041111,0.13019818104937125,0.11962080025451326,0.19459516545110186,0.22939613265804,0.2227969297022986,3.518301777234743e-9,0.1130864707428654,0.16628611977768473,0.22134966075626866,0.1711525079833844,0.20777709982202783,0.2138155197940404,0.13298255980744758,0.1967131438920208
0.051111000000000004,0.1301981810493717,0.11962080025451358,0.19459516545110234,0.22939613265804076,0.2227969297022992,3.518301787747885e-9,0.11308647074286571,0.1662861197776853,0.22134966075626925,0.171152507983385,0.20777709982202844,0.21381551979404081,0.1329825598074479,0.19671314389202132
0.061111000000000006,0.1301981810493723,0.1196208002545141,0.19459516545110306,0.22939613265804143,0.22279692970229995,3.518302394375074e-9,0.11308647074286642,0.16628611977768604,0.22134966075626986,0.1711525079833855,0.2077770998220292,0.21381551979404168,0.13298255980744866,0.19671314389202202
0.07111100000000001,0.1301981810493736,0.11962080025451534,0.19459516545110447,0.22939613265804226,0.2227969297023008,3.5183039721287512e-9,0.11308647074286764,0.16628611977768734,0.22134966075627088,0.1711525079833866,0.20777709982203005,0.21381551979404292,0.13298255980744986,0.19671314389202324
0.081111,0.1301981810493763,0.11962080025451814,0.19459516545110703,0.22939613265804476,0.22279692970230355,3.5183069770302498e-9,0.11308647074287051,0.16628611977768998,0.2213496607562733,0.17115250798338938,0.2077770998220328,0.21381551979404553,0.13298255980745274,0.1967131438920256
0.091111,0.13019818104937816,0.11962080025452028,0.19459516545110872,0.2293961326580465,0.2227969297023054,3.518308924866423e-9,0.11308647074287234,0.16628611977769173,0.22134966075627519,0.1711525079833912,0.20777709982203477,0.2138155197940472,0.13298255980745452,0.1967131438920276
0.10111099999999999,0.1301981810493787,0.11962080025452064,0.1945951654511094,0.2293961326580471,0.22279692970230583,3.518309490434766e-9,0.11308647074287304,0.16628611977769225,0.22134966075627568,0.17115250798339168,0.20777709982203516,0.21381551979404778,0.13298255980745513,0.1967131438920281
0.11111099999999999,0.13019818104938205,0.11962080025452392,0.19459516545111216,0.22939613265805023,0.22279692970230894,3.518312879557088e-9,0.11308647074287616,0.1662861197776954,0.22134966075627877,0.17115250798339499,0.20777709982203826,0.21381551979405064,0.13298255980745805,0.1967131438920313
0.12111099999999998,0.1301981810493863,0.11962080025452825,0.1945951654511164,0.22939613265805436,0.222796929702313,3.5183171353692125e-9,0.11308647074288042,0.16628611977769966,0.22134966075628304,0.1711525079833992,0.2077770998220424,0.21381551979405475,0.13298255980746249,0.19671314389203545
0.13111099999999998,0.13019818104938666,0.1196208002545286,0.19459516545111658,0.22939613265805478,0.22279692970231343,3.518317663908669e-9,0.11308647074288065,0.16628611977769991,0.22134966075628335,0.17115250798339965,0.20777709982204273,0.21381551979405508,0.13298255980746262,0.19671314389203579
0.141111,0.13019818104938832,0.11962080025453026,0.19459516545111843,0.2293961326580565,0.22279692970231504,3.518319524822881e-9,0.11308647074288253,0.16628611977770164,0.22134966075628512,0.1711525079834013,0.20777709982204434,0.21381551979405675,0.13298255980746443,0.19671314389203756
0.151111,0.13019818104939376,0.11962080025453561,0.19459516545112357,0.22939613265806172,0.22279692970232,3.5183250180426214e-9,0.11308647074288786,0.1662861197777069,0.2213496607562903,0.17115250798340656,0.20777709982204928,0.21381551979406188,0.13298255980746979,0.19671314389204275
