time,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13
0.0,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203
1.0e-6,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203
1.1e-5,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203
0.00011099999999999999,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203
0.0011109999999999998,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203
0.011110999999999996,0.9999999987911203,0.9999999987911203,0.9999999987911202,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203
0.021110999999999998,0.9999999987911203,0.9999999987911203,0.9999999987911202,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203
0.031111,0.9999999987911203,0.9999999987911203,0.9999999987911202,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203
0.041111,0.9999999987911203,0.9999999987911203,0.9999999987911202,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203
0.051111000000000004,0.9999999987911203,0.9999999987911203,0.9999999987911201,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203
0.061111000000000006,0.9999999987911203,0.9999999987911203,0.99999999879112,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203
0.07111100000000001,0.9999999987911203,0.9999999987911203,0.9999999987911201,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203
0.081111,0.9999999987911203,0.9999999987911203,0.99999999879112,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203
0.091111,0.9999999987911203,0.9999999987911203,0.99999999879112,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203
0.10111099999999999,0.9999999987911203,0.9999999987911203,0.9999999987911201,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203
0.11111099999999999,0.9999999987911203,0.9999999987911203,0.99999999879112,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203
0.12111099999999998,0.9999999987911204,0.9999999987911203,0.99999999879112,0.9999999987911203,0.9999999987911203,0.9999999987911204,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911203,0.9999999987911204
0.13111099999999998,0.9999999987911206,0.9999999987911203,0.99999999879112,0.9999999987911203,0.9999999987911203,0.9999999987911206,0.9999999987911204,0.9999999987911203,0.9999999987911203,0.9999999987911204,0.9999999987911206
0.141111,0.9999999987911207,0.9999999987911204,0.9999999987911199,0.9999999987911204,0.9999999987911203,0.9999999987911207,0.9999999987911204,0.9999999987911203,0.9999999987911204,0.9999999987911204,0.9999999987911207
0.151111,0.9999999987911208,0.9999999987911206,0.9999999987911199,0.9999999987911204,0.9999999987911203,0.9999999987911208,0.9999999987911206,0.9999999987911203,0.9999999987911204,0.9999999987911204,0.9999999987911208
0.161111,0.9999999987911209,0.9999999987911207,0.9999999987911199,0.9999999987911206,0.9999999987911203,0.9999999987911209,0.9999999987911206,0.9999999987911204,0.9999999987911206,0.9999999987911206,0.9999999987911209
0.171111,0.999999998791121,0.9999999987911208,0.99999999879112,0.9999999987911207,0.9999999987911204,0.999999998791121,0.9999999987911206,0.9999999987911206,0.9999999987911207,0.9999999987911207,0.999999998791121
0.18111100000000002,0.999999998791121,0.9999999987911209,0.99999999879112,0.9999999987911207,0.9999999987911206,0.9999999987911211,0.9999999987911206,0.9999999987911207,0.9999999987911208,0.9999999987911208,0.9999999987911211
0.19111100000000003,0.9999999987911211,0.999999998791121,0.9999999987911199,0.9999999987911207,0.9999999987911207,0.9999999987911212,0.9999999987911206,0.9999999987911208,0.9999999987911209,0.9999999987911208,0.9999999987911211
0.20111100000000004,0.9999999987911212,0.9999999987911211,0.9999999987911198,0.9999999987911207,0.9999999987911207,0.9999999987911213,0.9999999987911207,0.9999999987911208,0.9999999987911209,0.9999999987911208,0.9999999987911212
0.21111100000000005,0.9999999987911212,0.9999999987911211,0.9999999987911196,0.9999999987911207,0.9999999987911207,0.9999999987911214,0.9999999987911208,0.9999999987911208,0.9999999987911209,0.9999999987911208,0.9999999987911213
